-7	0	Indeterminate
-7	1/50	1.2601443097302996
-7	1/25	1.6011990206230438
-7	3/50	1.7661207009507311
-7	2/25	1.882787475932973
-7	1/10	1.980232467142541
-7	3/25	2.047770052935194
-7	7/50	2.0371758027997755
-7	4/25	2.1630896478215003
-7	9/50	2.2065282621207585
-7	1/5	2.2487197885570067
-7	11/50	2.2812234093302397
-7	6/25	1.9545104972197496
-7	13/50	2.3629753026065474
-7	7/25	2.3778793273794028
-7	3/10	2.400201980252057
-7	8/25	2.1851213581606403
-7	17/50	2.4472558604187853
-7	9/25	2.4282617571098073
-7	19/50	2.10398134369077
-7	2/5	2.4251110013701016
-7	21/50	2.463048835027082
-7	11/25	2.444670850486154
-7	23/50	2.405268356391188
-7	12/25	2.3973601911475395
-7	1/2	2.52171102137534
-7	13/25	2.5265984703730044
-7	27/50	2.377673529581271
-7	14/25	2.520898684969421
-7	29/50	2.517313728704767
-7	3/5	2.5043371875487987
-7	31/50	2.517142979877489
-7	16/25	2.488385364998895
-7	33/50	2.325690898917854
-7	17/25	2.3301447420201904
-7	7/10	2.477860714774252
-7	18/25	2.462341731996534
-7	37/50	2.2798335807298424
-7	19/25	2.1556364978330955
-7	39/50	2.4391452585639377
-7	4/5	2.40711518613296
-7	41/50	2.4098251902617847
-7	21/25	2.39211131515551
-7	43/50	1.9801397176068412
-7	22/25	2.133869796664279
-7	9/10	2.3389063335570013
-7	23/25	2.306063079605878
-7	47/50	2.3152844124027445
-7	24/25	2.2921140102275666
-7	49/50	2.0234998866992004
-7	1	2.24866469938852
-349/50	0	Indeterminate
-349/50	1/50	1.2983401288188445
-349/50	1/25	1.586894677679148
-349/50	3/50	1.7438301033055277
-349/50	2/25	1.883441649410679
-349/50	1/10	1.9732471367662279
-349/50	3/25	1.8225611368279362
-349/50	7/50	1.9768720010810106
-349/50	4/25	2.157652149833925
-349/50	9/50	2.2054570578132604
-349/50	1/5	2.2484300246049718
-349/50	11/50	2.2756178647778667
-349/50	6/25	2.3203086129068446
-349/50	13/50	2.339475662587503
-349/50	7/25	2.3484719405696284
-349/50	3/10	2.393298836207456
-349/50	8/25	2.3898876160449842
-349/50	17/50	2.043376001635293
-349/50	9/25	2.4416441444212125
-349/50	19/50	2.46832798969949
-349/50	2/5	2.4887636512966442
-349/50	21/50	2.4877081871120144
-349/50	11/25	2.4975602991637893
-349/50	23/50	2.498139562631868
-349/50	12/25	2.5240997929941056
-349/50	1/2	2.5196854652977008
-349/50	13/25	2.424905988252747
-349/50	27/50	2.525994482677301
-349/50	14/25	2.4873702247838714
-349/50	29/50	2.51933464725398
-349/50	3/5	2.479699049501387
-349/50	31/50	2.5075995767056574
-349/50	16/25	2.5138634677791023
-349/50	33/50	2.4970826959210695
-349/50	17/25	2.3288457981181963
-349/50	7/10	2.4703531825709457
-349/50	18/25	2.4631730294228427
-349/50	37/50	2.4052496120508984
-349/50	19/25	2.4468261185224613
-349/50	39/50	2.4376533773221998
-349/50	4/5	2.4093775160322903
-349/50	41/50	2.295254231111748
-349/50	21/25	2.3936757848147803
-349/50	43/50	2.3689655660993623
-349/50	22/25	1.9657396053671015
-349/50	9/10	1.9246311207838522
-349/50	23/25	2.323840012164837
-349/50	47/50	1.9692836186437264
-349/50	24/25	2.286315508680125
-349/50	49/50	2.278639277795949
-349/50	1	2.2364499010305603
-174/25	0	Indeterminate
-174/25	1/50	1.306694836637306
-174/25	1/25	1.3820292984100206
-174/25	3/50	1.7662368870957494
-174/25	2/25	1.8816561155437197
-174/25	1/10	1.9705082601009598
-174/25	3/25	2.052874186385569
-174/25	7/50	1.721047472116965
-174/25	4/25	2.1720598182946467
-174/25	9/50	2.20882449923948
-174/25	1/5	2.240288404857445
-174/25	11/50	2.296700079837351
-174/25	6/25	1.929715974156362
-174/25	13/50	2.309109461388931
-174/25	7/25	2.1494919693113643
-174/25	3/10	2.388823019419612
-174/25	8/25	2.3956687063998747
-174/25	17/50	2.4488975674609326
-174/25	9/25	2.2078324822038025
-174/25	19/50	2.4249532653569474
-174/25	2/5	2.1200364500327593
-174/25	21/50	2.483205425306964
-174/25	11/25	2.473502038204463
